name,Return,α,β,σu,σr
سنوين,5.698583569405099,1.1478123223329615,0.30286887636163473,10.65559964156411,11.092750673403504
سنير,13.912374821173104,1.3003170820068448,0.479778251969586,15.039203554764601,15.684704584439082
سهرمز,0.21933928824613638,-1.0459034453728049,0.6212908132970515,11.373085665949084,12.68195156471137
سهگمت,6.310267857142857,-0.975156034522167,0.9729576692934507,12.948438524872401,15.566609004329164
سيدكو,4.046666666666667,-0.7802923779268245,0.7335682260799247,10.421937012202148,13.221665718139814
سيستم,5.17407639323732,0.31449850856830575,0.47279885176882674,9.2146929857879,10.983768458383505
سيلام,1.5116279069767442,-0.0279861109181532,0.5496571761632075,16.05979247132434,16.81675137591509
سپاها,4.622700998423542,-1.4918043212371153,1.0838042628043607,12.596078595556241,15.8439654905193
سپرمي,31.171102661596958,9.013855569929964,0.47260538730905477,44.24102111785825,44.65879347896978
شاراك,8.888223552894212,0.1920301167911156,0.8736217312583828,10.852835265503185,13.368158548043137
شاملا,10.691518358185025,1.727795945410644,0.5624436817459707,11.170896984334256,12.23366458031836
شاوان,3.9150838978173286,0.2873350175197853,1.176512834940499,14.926572131615979,19.548749007135218
شبريز,12.793537557700377,0.26304220243417425,1.1928052326702139,14.976294619838745,18.907814393865454
شبندر,15.272612536811106,0.45028381524647215,1.2884892962478833,12.202030058395067,18.111395292438146
شبهرن,4.902547065337763,-0.03966345045911035,0.8403484719008161,9.964405099450568,12.484224838346496
شتران,6.454909819639279,-3.150542573074378,1.6864627011677222,15.38702779487281,26.146893397167077
شتهران,-0.7259005031488455,-2.0658756370882494,0.01749655056024472,3.470129968275615,3.477611946343335
شتوكا,8.366861979166666,3.1259197288287064,0.343796838048071,20.29522249815725,20.69633018994199
شتولي,8.477178423236515,0.9714701175362521,0.5576450791774265,19.550163331759016,20.593751357576462
شجم,1.9118572927597062,5.641864023761852,0.27734076134752034,30.347808821443625,30.56597462429165
شخارك,4.421898838164535,0.8235967683165232,0.6483575805555334,8.454028019335665,10.272083758939104
شدوص,12.427041499330656,1.1482530377729203,0.5539863023369811,12.599951186971998,13.627204213920372
شراز,22.89284164859002,0.92365213000576,0.9313133073107949,15.607527701842558,18.412828298133064
شرانل,2.0306142603199686,-1.0275791429917414,0.6985408261986584,8.808027574769033,11.395624427866517
شرنگي,18.185430463576157,22.92752245137587,-0.17759147035688858,75.74205686399458,75.7815365689614
شزنگ,29.28664283392915,3.761901150298233,0.657396783106419,34.54033105530784,35.17659222032442
شستان,1.2669060442848594,-1.9647862810750094,0.6308633630699891,23.95966210129844,24.978717158234463
شسم,51.59671052631579,7.51301429120787,-0.029159980420732368,35.90300010026447,35.90444353989796
شسينا,176.99793601651186,2.0225197309448744,1.0436416646501878,16.07786584462131,18.781845550694552
شسپا,0.2897905327395679,-0.2881118513561942,0.8363969071771467,10.85080157481631,14.186053231209012
شصفها,16.784502698535082,1.2363451622843857,1.113139126659797,22.456733019326826,25.928134301677172
شفارس,12.943037974683545,0.21476949338949314,0.7826368530188275,16.430261318776218,17.89792667273695
شفن,71.44186046511628,0.6364325282834129,0.9997574523325589,10.353982526304868,13.66600198476202
شكبير,32.46771476698484,1.3638525462053388,0.5233347966311888,14.961942126246868,15.798341975367084
شكربن,143.54855195911415,1.5286620627176508,0.6736468417597299,17.063669588101487,18.07239076659456
شكف,37.327333333333335,4.06500957747938,0.2421714956597269,16.96862702103135,17.18902331415008
شكلر,18.85997666277713,0.8781339635800132,0.43097758058011953,13.405598001287563,13.936214092135835
